"","results.parameter","results.city","results.country","results.coordinates.latitude","results.coordinates.longitude","units","valuemax","valuemean"
"139","pm25","Thane","IN",19.192056,72.9585188,"micrograms per cubic meter",268.39,54.6624910607866
"140","pm25","Tongling","CN",30.8811,117.7442,"micrograms per cubic meter",122,50.0357142857143
"141","pm25","Tongling","CN",30.9219,117.8561,"micrograms per cubic meter",115,46.6946107784431
"142","pm25","Tongling","CN",30.9222,117.8078,"micrograms per cubic meter",112,54.7546012269939
"143","pm25","Tongling","CN",30.9414,117.7806,"micrograms per cubic meter",87,44.4670658682635
"144","pm25","Tongling","CN",30.9414,117.8178,"micrograms per cubic meter",91,47.4523809523809
"145","pm25","Valdosta","US",30.8486,-83.2933,"micrograms per cubic meter",51,9.78333333333333
"146","pm25","Vijayawada","IN",16.507014,80.627767,"micrograms per cubic meter",58,21.30378
"147","pm25","Vilnius","LT",54.7152786294941,25.28944397,"micrograms per cubic meter",42.54,14.2630952380952
"148","pm25","Viterbo","IT",42.422058,12.109125,"micrograms per cubic meter",31,11.3581081081081
"149","pm25","Viterbo","IT",42.736649,11.876578,"micrograms per cubic meter",24,9.68707482993197
"150","pm25","Vlaams-Brabant","BE",50.9130204234224,4.51218434619029,"micrograms per cubic meter",26.5,22.25
"151","pm25","Vlaams-Brabant","BE",50.9145761375644,4.50418332331232,"micrograms per cubic meter",34,34
"152","pm25","Vlaams-Brabant","BE",50.9413871149913,4.43672076353407,"micrograms per cubic meter",30.5,24.1666666666667
"153","pm25","Vlaams-Brabant","BE",50.9775413785115,4.83761801569861,"micrograms per cubic meter",24,20.5714285714286
"154","pm25","Wuhu","CN",31.3178,118.3708,"micrograms per cubic meter",103,39.8616600790514
"155","pm25","Wuhu","CN",31.3508,118.3528,"micrograms per cubic meter",122,43.1904761904762
"156","pm25","Wuhu","CN",31.4189,118.37,"micrograms per cubic meter",136,45.1106719367589
"157","pm25","Xuancheng","CN",30.9431,118.7175,"micrograms per cubic meter",85,39.4191616766467
"158","pm25","Xuancheng","CN",30.9447,118.7581,"micrograms per cubic meter",109,38.03003003003
"159","pm25","Xuancheng","CN",30.9742,118.7386,"micrograms per cubic meter",102,42.1201201201201
